,reals_0,reals_1,reals_2,reals_3,reals_4,reals_5,reals_6,reals_7,imags_0,imags_1,imags_2,imags_3,imags_4,imags_5,imags_6,imags_7
80,0.9999999999999999,0.9998411703261048,0.9993716081166557,0.9986116762769208,0.9975939469307459,0.996361240775261,0.9949640534249373,0.9934575272401373,0.0,0.003364048046935389,0.006668528613263016,0.009857226315074538,0.012880424412282819,0.01569765293574026,0.018279870099381843,0.020610943656841865
106,0.9999999999999999,0.9999877929357347,0.9999511730056714,0.9998901439977362,0.9998047122242423,0.9996948865205428,0.9995606782431455,0.9994021012672916,0.0,0.003374051715805796,0.006747878619974071,0.010121255935005272,0.013493958951666284,0.016865763063099896,0.02023644379890579,0.02360577685918352
111,0.9999999999999999,0.9994864506329014,0.9980601284553251,0.9960352372484944,0.9938468829907549,0.9919420544272556,0.9906683683821339,0.9901889206983591,0.0,0.0032947835695540536,0.006137131383338837,0.008185209103577975,0.00929027022470556,0.009530103832987935,0.009185060380341404,0.008662948977096858
153,0.9999999999999999,0.9999367226397192,0.9997475062746606,0.9994341884365876,0.9989997997915763,0.9984485168846406,0.997785597121655,0.9970172971039579,0.0,0.0033722443897251414,0.00673345017218184,0.0100727290403749,0.013379490786307284,0.016643586140223737,0.01985544227890141,0.0230061887592968
159,0.9999999999999999,0.9999563575991165,0.9998256694591582,0.9996086501860146,0.9993064822118255,0.9989208030317774,0.998453687541016,0.9979076256742199,0.0,0.0033732008708595345,0.006741081623576253,0.010098370871556414,0.013439894139942997,0.016760620949433726,0.02005571027135429,0.023320553840378462
196,0.9999999999999999,0.999743918422159,0.9990064146267635,0.997875631777799,0.9964854222647076,0.9949976060524641,0.993580554182867,0.9923869622844588,0.0,0.0033451853810665265,0.006521471386065481,0.009381927972268042,0.011820630189545604,0.013786219695455107,0.015288184505515669,0.016395024596224193
239,0.9999999999999999,0.9998586455020096,0.9994396261720238,0.9987578132702967,0.9978371352370659,0.9967093397002796,0.9954123527007782,0.9939883216644055,0.0,0.003366174135352442,0.006685316463235874,0.009912661808123748,0.013007859102365809,0.0159368868410644,0.0186736359003462,0.02120107666426949
272,0.9999999999999999,0.9998897261760803,0.9995633483180841,0.999033976665149,0.9983227372841695,0.9974577235533707,0.9964726022493853,0.9954049437924847,0.0,0.0033672559421576045,0.006693909546623767,0.009941322868549367,0.013074688818923295,0.016064706657356004,0.018888983008936416,0.02153308860286198
275,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478495014,0.0033877674576976435,0.0010731512972990123,-0.0021310800474216448,-0.0035681111429609947,-0.0020466377192196773,0.0011714898300498
285,0.9999999999999999,0.9999752671216813,0.9999011116843798,0.9997776631376217,0.9996051367529997,0.999383832909497,0.9991141360964456,0.9987965136375989,0.0,0.0033738048805842698,0.006745904912246346,0.010114600146795409,0.01347820042057449,0.01683503020446464,0.020183433403340122,0.023521778088401443
321,0.9999999999999999,0.9999788100889281,0.999915268566428,0.9998094599711403,0.9996615248894647,0.9994716594897852,0.9992401148728332,0.9989671962406256,0.0,0.0033738877672683403,0.006746567655471812,0.010116834936232716,0.013483491171173766,0.016845347328527133,0.020201226865796024,0.02354996876735563
323,0.9999999999999999,0.9998451638323448,0.9993828000273227,0.9986192988584599,0.9975651657748578,0.9962348075768801,0.994646240336246,0.9928207261096161,0.0,0.0033683862267242758,0.006702673628865247,0.009969355129203973,0.013136093713128889,0.01617227421743219,0.01904951616510778,0.02174213619694686
365,0.9999999999999999,0.9999438202046133,0.9997757114194277,0.9994969596051307,0.9991096886446972,0.9986168315772241,0.9980220909424643,0.9973298888415615,0.0,0.0033726612847049847,0.006736774707231319,0.010083889811759636,0.013405749522361014,0.01669438327317295,0.01994219592894308,0.023142051195164614
495,0.9999999999999999,0.9999620544341793,0.9998484660858279,0.9996599771205259,0.9993978149095097,0.9990636777927127,0.9986597153858116,0.9981885036666266,0.0,0.0033732440412700005,0.0067414278307982405,0.010099544051469752,0.013442690626795433,0.016766121777188066,0.020065297220394143,0.023335928932196597
503,0.9999999999999999,0.9985203824726603,0.9953084072671323,0.9930273546616187,0.9935684958838665,0.996482928717629,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478495135,0.00338776745769763,0.0010731512972989518,-0.0021310800474217133,-0.0035681111429609943,-0.0020466377192195745,0.0011714898300499406
554,0.9999999999999999,0.999648936458752,0.9986268928110402,0.9970243275777994,0.9949823550110828,0.9926792612594824,0.9903135082489637,0.9880848813081927,0.0,0.0033396820378696532,0.0064767961723493726,0.009227746725299536,0.011445044362636176,0.013030944788795342,0.013946278289692249,0.01421362862433588
560,0.9999999999999999,0.9998586455020096,0.9994396261720238,0.9987578132702969,0.9978371352370659,0.9967093397002796,0.9954123527007782,0.9939883216644055,0.0,0.0033661741353524215,0.006685316463235836,0.009912661808123691,0.013007859102365744,0.015936886841064323,0.018673635900346135,0.021201076664269427
579,0.9999999999999999,0.9998586455020096,0.9994396261720238,0.9987578132702969,0.9978371352370659,0.9967093397002798,0.9954123527007782,0.9939883216644059,0.0,0.0033661741353523925,0.006685316463235782,0.009912661808123615,0.013007859102365656,0.015936886841064233,0.018673635900346052,0.021201076664269358
601,0.9999999999999999,0.9998411703261048,0.9993716081166557,0.9986116762769208,0.9975939469307459,0.996361240775261,0.9949640534249373,0.993457527240137,0.0,0.0033640480469354114,0.006668528613263061,0.009857226315074599,0.012880424412282886,0.01569765293574033,0.018279870099381906,0.02061094365684191
653,0.9999999999999999,0.9998127628048781,0.999258328467952,0.9983580959562006,0.9971463148171499,0.9956680555530858,0.9939765490051543,0.9921300618115347,0.0,0.003362994715976773,0.00666012536267645,0.009828994905225015,0.012813925472693609,0.015568794242851113,0.018059278014119228,0.02026436871402005
654,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478495053,0.0033877674576976388,0.0010731512972989926,-0.0021310800474216673,-0.0035681111429609947,-0.0020466377192196444,0.0011714898300498443
666,0.9999999999999999,0.9999103125548453,0.9996450331718939,0.9992153320618207,0.9986392392022625,0.997940792950472,0.9971489050257987,0.9962959955396724,0.0,0.0033682296928051014,0.006701632541980267,0.009967015542207936,0.013134376131617338,0.016178307985111683,0.019079189553282905,0.021824099183864406
669,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849507,0.003387767457697638,0.001073151297298987,-0.002131080047421674,-0.0035681111429609947,-0.0020466377192196344,0.001171489830049856
681,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838664,0.9964829287176287,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849495,0.003387767457697651,0.0010731512972990457,-0.002131080047421609,-0.003568111142960996,-0.002046637719219735,0.0011714898300497244
777,0.9999999999999999,0.9998863141713412,0.9995472004339425,0.9989884446234651,0.9982195395508853,0.9972534635162201,0.9961063779000092,0.9947972512727852,0.0,0.0033695216477107274,0.006711755752968952,0.01000000014483933,0.013208709234428991,0.016314037256325086,0.019294340429692917,0.022130625950910025
784,0.9999999999999999,0.9997307882733452,0.9989373236043723,0.9976610249504283,0.9959673729686997,0.9939408943657455,0.9916787345230654,0.9892833523104659,0.0,0.003355066599179414,0.006597552833950151,0.0096225183085673,0.012339680669297028,0.014679242143497556,0.016596055003252466,0.01807179589508055
788,0.9999999999999999,0.9998619232443342,0.9994539286840622,0.9987943642205969,0.9979126337256393,0.9968475068184387,0.9956448954400982,0.9943552297501453,0.0,0.0033649307654770788,0.0066755077414581854,0.009880323031405189,0.01293368665207747,0.01579806123400613,0.018446016178057873,0.02086158684782124
797,0.9999999999999999,0.9998010431863316,0.9992130809176519,0.9982622513704886,0.9969902039831746,0.9954513663689948,0.9937093845747584,0.991832981056748,0.0,0.0033613711863430097,0.006647342776651263,0.009786990943224915,0.012718039067665072,0.015390441501283932,0.017769136792066285,0.01983578475559708
830,0.9999999999999999,0.9998876092120496,0.9995532880121643,0.9990055008073025,0.9982580608355884,0.9973296988651592,0.9962434787646794,0.9950260785877095,0.0,0.003368497837215095,0.006703648721381256,0.009973104550587348,0.013146483261879035,0.016196273706994318,0.019098649563666532,0.021834166544095406
844,0.9999999999999999,0.9995055660998325,0.9981333416693879,0.996188876267897,0.9940961286270584,0.9922922074158956,0.9911194503109787,0.9907420167030573,0.0,0.0032968921964675124,0.006153228792668023,0.008235477894248193,0.009397253916741228,0.009712435147399999,0.009453046790146555,0.009017627504002472
871,0.9999999999999999,0.9998730100057519,0.9994971382894227,0.9988874110550292,0.9980679909642074,0.9970709049257565,0.9959343589099091,0.994700729530809,0.0,0.0033663456722856687,0.006686698869418277,0.009917383439725175,0.013019232760732854,0.015959543271303986,0.018713684548244257,0.021266280449889447
875,0.9999999999999999,0.9995424699991329,0.9982727746541781,0.9964746719347959,0.9945440877855053,0.9928934126158155,0.9918521323969359,0.9915880139809737,0.0,0.0033021490151354726,0.006193332427718419,0.008360556216169851,0.009662914980841453,0.010163827118574048,0.010113590264738013,0.009886589541270866
895,0.9999999999999999,0.99963500671545,0.9986135652850712,0.9971410733122075,0.9955122917042353,0.9940503863477818,0.9930401511114034,0.9926692586436955,0.0,0.0033191890196089193,0.006322606487504535,0.008759596077134132,0.010496236023903285,0.011542768157623234,0.0120511632600462,0.012283347107068259
915,0.9999999999999999,0.9998918198325482,0.99957173432957,0.9990528866537733,0.9983564537164943,0.9975105919033789,0.996549035650853,0.9955094189368617,0.0,0.0033672774528915126,0.006694083411362359,0.009941919528654279,0.013076135181724286,0.016067609834868414,0.018894159164838633,0.021541594738759183
933,0.9999999999999999,0.9999743835981572,0.9998976332882449,0.9997700450309096,0.9995921096786645,0.9993645093720799,0.999088112532366,0.9987639674879325,0.0,0.0033736669716262647,0.006744804026975238,0.010110898059125864,0.01346946945422295,0.01681808852483776,0.020154391570158164,0.0234760964429912
963,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849504,0.0033877674576976405,0.0010731512972989995,-0.0021310800474216604,-0.0035681111429609947,-0.0020466377192196556,0.0011714898300498313
1001,0.9999999999999999,0.9999513478655149,0.9998057468791167,0.9995642586563457,0.9992286371687655,0.9988013058870745,0.998285326227453,0.9976843577396337,0.0,0.0033729092560465896,0.006738754901916583,0.01009055292759352,0.013421477434494903,0.01672493698419659,0.01999464774117763,0.023224702410973404
1026,0.9999999999999999,0.9998859973026253,0.9995466460934693,0.9989898396105843,0.9982284775471545,0.9972800905891506,0.9961663307002154,0.9949123425016071,0.0,0.003368650249934248,0.006704847426787748,0.009977035396572131,0.013155425186322588,0.016212812582341408,0.019125318794690406,0.02187303221130925
1115,0.9999999999999999,0.9998356859437161,0.9993515226870923,0.9985732709652826,0.9975419849209924,0.9963113272811693,0.9949440724567865,0.9935080373678802,0.0,0.0033620563398367126,0.0066528119293749926,0.009805382674181696,0.012761419302231168,0.015474649259964219,0.017913604523815525,0.020063353942544996
1262,0.9999999999999999,0.9997509291235221,0.9990174230073416,0.9978395269434039,0.9962804917335395,0.9944218423002451,0.9923570585674101,0.99018439398977,0.0,0.0033560926602673566,0.006605728310580148,0.009649927004180367,0.012404050868653546,0.014803496333128238,0.016807751159619414,0.0184024909098577
1284,0.9999999999999999,0.9998586455020096,0.9994396261720238,0.9987578132702969,0.9978371352370659,0.9967093397002798,0.9954123527007782,0.9939883216644059,0.0,0.0033661741353523907,0.006685316463235779,0.00991266180812361,0.013007859102365647,0.01593688684106422,0.01867363590034603,0.021201076664269333
1287,0.9999999999999999,0.9995275535296212,0.9982163747976235,0.9963589259981621,0.9943623483248668,0.99264895222992,0.9915534233618261,0.9912421373971058,0.0,0.003300054228652276,0.006177350840898946,0.008310709830416655,0.009557047458674332,0.009983983947220066,0.00985056284446497,0.00954095053293487
1326,0.9999999999999999,0.999854194934698,0.9994239154897853,0.9987301266885655,0.997806324483986,0.9966964645112698,0.9954522506322435,0.9941299568869171,0.0,0.00336400011153684,0.00666817458565499,0.00985619361003165,0.0128784972725199,0.015695140420305738,0.01827802848149569,0.020612403643853403
