,reals_0,reals_1,reals_2,reals_3,reals_4,reals_5,reals_6,reals_7,reals_8,reals_9,reals_10,reals_11,reals_12,reals_13,reals_14,reals_15,imags_0,imags_1,imags_2,imags_3,imags_4,imags_5,imags_6,imags_7,imags_8,imags_9,imags_10,imags_11,imags_12,imags_13,imags_14,imags_15
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651096e-12,1.4155793388855018e-12,1.516692148805895e-12
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019653e-13,6.066768595223582e-13,7.077896694427514e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039306e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855028e-12,1.5166921488058956e-12
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.01112809920393e-12,1.112240909124323e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039309e-13,2.0222561984078618e-13,3.0333842976117926e-13,4.0445123968157236e-13,5.055640496019655e-13,6.066768595223585e-13,7.077896694427516e-13,8.089024793631447e-13,9.100152892835378e-13,1.011128099203931e-12,1.1122409091243242e-12,1.213353719044717e-12,1.3144665289651102e-12,1.4155793388855032e-12,1.5166921488058964e-12
168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427512e-13,8.08902479363144e-13,9.100152892835372e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855024e-12,1.5166921488058956e-12
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.10015289283537e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058952e-12
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019652e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039304e-12,1.112240909124323e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.5166921488058956e-12
241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.05564049601965e-13,6.066768595223581e-13,7.077896694427511e-13,8.08902479363144e-13,9.10015289283537e-13,1.01112809920393e-12,1.112240909124323e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427509e-13,8.08902479363144e-13,9.10015289283537e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058952e-12
488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.0333842976117905e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019652e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039304e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058956e-12
497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427512e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855024e-12,1.516692148805895e-12
559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039305e-13,2.022256198407861e-13,3.0333842976117905e-13,4.044512396815722e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427512e-13,8.089024793631444e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058952e-12
628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243234e-12,1.213353719044716e-12,1.3144665289651096e-12,1.4155793388855018e-12,1.5166921488058952e-12
630,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019653e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039306e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058958e-12
661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039305e-13,2.022256198407861e-13,3.03338429761179e-13,4.044512396815722e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631444e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.08902479363144e-13,9.100152892835372e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.08902479363144e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.5166921488058946e-12
826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039309e-13,2.0222561984078618e-13,3.0333842976117926e-13,4.0445123968157236e-13,5.055640496019655e-13,6.066768595223585e-13,7.077896694427516e-13,8.089024793631447e-13,9.100152892835374e-13,1.011128099203931e-12,1.112240909124324e-12,1.213353719044717e-12,1.3144665289651102e-12,1.4155793388855032e-12,1.5166921488058964e-12
921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.05564049601965e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.01112809920393e-12,1.1122409091243228e-12,1.2133537190447162e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.5166921488058952e-12
1005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.08902479363144e-13,9.10015289283537e-13,1.0111280992039302e-12,1.112240909124323e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058946e-12
1089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427512e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058952e-12
1140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651096e-12,1.4155793388855018e-12,1.5166921488058952e-12
1148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.055640496019652e-13,6.066768595223581e-13,7.077896694427511e-13,8.08902479363144e-13,9.100152892835374e-13,1.0111280992039304e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019649e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039298e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.5166921488058952e-12
1225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835374e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
1302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.0333842976117905e-13,4.0445123968157216e-13,5.055640496019649e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631443e-13,9.10015289283537e-13,1.0111280992039298e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427512e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058956e-12
1343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
1525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855024e-12,1.5166921488058952e-12
1578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427511e-13,8.08902479363144e-13,9.100152892835374e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
1591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039309e-13,2.0222561984078618e-13,3.0333842976117936e-13,4.0445123968157236e-13,5.055640496019655e-13,6.066768595223587e-13,7.077896694427516e-13,8.089024793631447e-13,9.100152892835378e-13,1.011128099203931e-12,1.112240909124324e-12,1.2133537190447174e-12,1.3144665289651102e-12,1.4155793388855032e-12,1.516692148805896e-12
1599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039313e-13,2.0222561984078625e-13,3.0333842976117926e-13,4.044512396815725e-13,5.055640496019655e-13,6.066768595223585e-13,7.077896694427516e-13,8.08902479363145e-13,9.100152892835378e-13,1.011128099203931e-12,1.112240909124324e-12,1.213353719044717e-12,1.3144665289651102e-12,1.4155793388855032e-12,1.516692148805896e-12
1641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631443e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
1663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039305e-13,2.022256198407861e-13,3.0333842976117905e-13,4.044512396815722e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631444e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.5166921488058952e-12
1733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.5166921488058952e-12
1736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.08902479363144e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058952e-12
1825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.03338429761179e-13,4.04451239681572e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427509e-13,8.08902479363144e-13,9.10015289283537e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.5166921488058956e-12
1856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243234e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058956e-12
1882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
1897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.0333842976117905e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
1914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
2045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.03338429761179e-13,4.0445123968157216e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
2085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019652e-13,6.066768595223582e-13,7.077896694427514e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039304e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855028e-12,1.5166921488058956e-12
2091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.0333842976117905e-13,4.0445123968157216e-13,5.055640496019652e-13,6.066768595223581e-13,7.077896694427509e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039304e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058952e-12
2112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
2179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651088e-12,1.4155793388855018e-12,1.516692148805895e-12
2209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.05564049601965e-13,6.066768595223581e-13,7.077896694427511e-13,8.08902479363144e-13,9.100152892835372e-13,1.01112809920393e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
2224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427512e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058952e-12
