,reals_0,reals_1,reals_2,reals_3,imags_0,imags_1,imags_2,imags_3
19,1.0,0.9999568105270776,0.9998274430335705,0.999612498539665,0.0,0.0033738297159255203,0.006742668758890523,0.010101563068445897
86,1.0,0.9999748900118598,0.9998995807060006,0.9997741340190722,0.0,0.003374455601549628,0.0067476688445126665,0.01011839905875197
107,1.0,0.9997493865170395,0.9990115704855228,0.9978277430345968,0.0,0.003355466258923522,0.006597162694426314,0.009618267895825731
129,1.0,0.9997145253211319,0.9988720862987991,0.9975136245952194,0.0,0.0033550779175680547,0.006594127774409767,0.009608401879544173
168,1.0,0.9999845234486051,0.9999380962956889,0.9998607260444737,0.0,0.003374601454060933,0.0067488353415757875,0.010122334170130426
220,1.0,0.9998132998065666,0.9992613695219161,0.9983681989448642,0.0,0.0033628911833881955,0.006655974400570818,0.00981349012731526
235,1.0,0.9998628977086452,0.9994539013337878,0.9987798869583526,0.0,0.0033690726113247155,0.0067047437782453145,0.009974304064926888
241,1.0,0.9999324579556733,0.9997300972366311,0.9993937128991591,0.0,0.0033732942365002952,0.006738384630657402,0.010087102527512777
248,1.0,0.9999083431116278,0.9996343532790359,0.9991809597339993,0.0,0.0033716702133544376,0.00672543045581247,0.010043595346342428
444,1.0,0.9998570907063077,0.9994345389781889,0.9987505187287352,0.0,0.0033655915301035004,0.006677347782562496,0.00988435580974705
488,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629066,0.0033883433148113127,0.0010733337129461525
491,1.0,0.9977898340601717,0.9959489933932762,0.9984666024203861,0.0,0.0020326268204864262,-0.0003395802747886082,-0.0019757394716857324
497,1.0,0.9998968263306494,0.999591191138248,0.9990945672608614,0.0,0.0033685329233425405,0.006700626625005212,0.009961522227003354
559,1.0,0.9999758705184297,0.999903501706445,0.9997829524341557,0.0,0.003374459547981672,0.006747700364074504,0.01011850514569301
628,1.0,0.9998189741280209,0.9992834455740834,0.9984155968384232,0.0,0.0033635853233713346,0.00666145184955734,0.009831558082211644
630,1.0,0.9997026291460896,0.9988316100285815,0.9974483660516213,0.0,0.00334929176258063,0.006548844776028728,0.009461108487884456
661,1.0,0.9998729883349138,0.9994970524734524,0.9988872211760703,0.0,0.0033669178868201226,0.006687835472992422,0.009919069175489733
687,1.0,0.9999110912326804,0.9996448743762947,0.9992028733424826,0.0,0.0033725724394332588,0.00673262160381804,0.010067715998776943
714,1.0,0.9998992839456823,0.9996010384786314,0.9991167895649593,0.0,0.0033685126982014113,0.006700463561342166,0.00996096519712074
769,1.0,0.9998189741280208,0.9992834455740834,0.9984155968384232,0.0,0.0033635853233713255,0.006661451849557322,0.009831558082211618
826,1.0,0.9998644030654057,0.9994619981187903,0.9988057322611475,0.0,0.0033674676723621693,0.006692148360384006,0.009933151461129002
921,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629105,0.0033883433148113097,0.0010733337129461378
968,1.0,0.9998850668080321,0.9995425324273873,0.998979132602616,0.0,0.0033696466102460174,0.006709341928536342,0.009989857099136312
1005,1.0,0.9999672215646443,0.9998689327430287,0.9997052729005087,0.0,0.003374281735079113,0.006746278373718608,0.010113708811915409
1067,1.0,0.9998189741280208,0.9992834455740834,0.9984155968384232,0.0,0.003363585323371361,0.006661451849557389,0.009831558082211709
1089,1.0,0.9980742989826308,0.9952060806086299,0.9957278461528664,0.0,0.0024721586722957515,0.0012100530477271816,-0.0018797263489938973
1120,1.0,0.9998586214716092,0.9994395309075316,0.9987576020949722,0.0,0.003366746322320307,0.006686452844440013,0.009914346783211432
1140,1.0,0.9998189741280209,0.9992834455740834,0.9984155968384232,0.0,0.00336358532337134,0.0066614518495573495,0.009831558082211657
1148,1.0,0.9998411420395666,0.999371496182919,0.998611428898675,0.0,0.0033646198234933145,0.0066696617528023755,0.009858900580059435
1190,1.0,0.999842920618611,0.9993746683728301,0.9986041253559667,0.0,0.0033678426298225954,0.0066949519071705975,0.009941524995523681
1225,1.0,0.9996349446579721,0.998613329552816,0.9971405871949067,0.0,0.0033197532210465005,0.006323681222732323,0.00876108507648423
1283,1.0,0.9999279774808196,0.999712520418046,0.9993554523731454,0.0,0.0033726950277073475,0.006733611374594687,0.01007110725546423
1302,1.0,0.999801009366215,0.9992129471509691,0.9982619559725205,0.0,0.003361942556984201,0.006648472703694272,0.00978865455869855
1304,1.0,0.9999275878604573,0.9997113163175742,0.9993540608441589,0.0,0.0033721762903662737,0.0067294877388844295,0.010057336919993085
1343,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629066,0.003388343314811313,0.001073333712946154
1472,1.0,0.9995274732228576,0.9982160716129561,0.996358307069823,0.0,0.003300615177666095,0.006178400886273206,0.008312122529630858
1525,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629005,0.003388343314811319,0.0010733337129461827
1578,1.0,0.9998411420395666,0.999371496182919,0.9986114288986748,0.0,0.0033646198234933357,0.0066696617528024145,0.00985890058005949
1591,1.0,0.9998248674865713,0.999306695074222,0.998466727252268,0.0,0.003363907710475501,0.0066639871544244104,0.009839872749148085
1599,1.0,0.9998474535496592,0.9993918022636015,0.9986389727557946,0.0,0.0033691886435308466,0.00670563886618345,0.009977139974506673
1641,1.0,0.999743874864573,0.9990062456206008,0.997875270411397,0.0,0.003345754000751824,0.006522579919782825,0.009383522741991541
1663,1.0,0.9997940107962344,0.9991868791636479,0.9982103268892509,0.0,0.0033601037179110792,0.006634015231789619,0.009741258078311731
1733,1.0,0.9998729883349138,0.9994970524734524,0.9988872211760703,0.0,0.003366917886820128,0.0066878354729924296,0.009919069175489745
1736,1.0,0.9999443037197985,0.9997774097268932,0.9994999016633324,0.0,0.0033736172652967158,0.006740966970447536,0.010095807295927336
1825,1.0,0.9999797977992562,0.9999192034276806,0.999818253557809,0.0,0.0033745253259547846,0.006748226485245075,0.010120280227559815
1856,1.0,0.9983915832117712,0.9951684298772964,0.9935409702855466,0.0,0.002793222791528137,0.0028042671419355827,2.2236000406304116e-05
1882,1.0,0.9997394178793084,0.9989655168771071,0.9977015334140531,0.0,0.0033600971889088263,0.006633403323815196,0.009736111380092942
1897,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629036,0.003388343314811316,0.0010733337129461675
1914,1.0,0.9997394178793084,0.9989655168771072,0.9977015334140531,0.0,0.003360097188908802,0.006633403323815153,0.00973611138009288
2045,1.0,0.9998729883349138,0.9994970524734524,0.9988872211760703,0.0,0.003366917886820122,0.006687835472992422,0.009919069175489731
2085,1.0,0.9999748900118598,0.9998995807060006,0.9997741340190722,0.0,0.0033744556015496336,0.006747668844512679,0.01011839905875199
2091,1.0,0.9999469721500683,0.9997885285475436,0.9995265778581287,0.0,0.003372941764409559,0.006735591367189326,0.0100778237888087
2112,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629105,0.0033883433148113097,0.0010733337129461354
2179,1.0,0.9998411420395666,0.999371496182919,0.9986114288986748,0.0,0.0033646198234933288,0.006669661752802402,0.009858900580059471
2209,1.0,0.9999279774808196,0.999712520418046,0.9993554523731454,0.0,0.0033726950277073796,0.006733611374594752,0.010071107255464326
2224,1.0,0.9999324579556732,0.9997300972366311,0.9993937128991591,0.0,0.003373294236500305,0.006738384630657421,0.010087102527512807
2282,1.0,0.999801104942866,0.9992141253031402,0.9982675181132761,0.0,0.003361135645309095,0.0066421145090807794,0.009767732251476261
2316,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629044,0.0033883433148113157,0.0010733337129461662
2382,1.0,0.9999226915298537,0.9996912926297243,0.9993073767766449,0.0,0.0033727262871604035,0.006733855713676,0.010071899726275839
2391,1.0,0.9999616229845143,0.9998465495368417,0.9996549523453441,0.0,0.0033741961944104937,0.006745594238213151,0.010111400922097936
2455,1.0,0.9995423922161056,0.9982724810092511,0.9964740725747907,0.0,0.003302710320218674,0.006194385189616627,0.008361977388144976
2470,1.0,0.9999839832990712,0.9999359377024398,0.9998558767264802,0.0,0.0033745831948834323,0.0067486892912273395,0.010121841379966365
2472,1.0,0.9998570907063077,0.9994345389781889,0.9987505187287353,0.0,0.003365591530103485,0.006677347782562467,0.009884355809747008
2491,1.0,0.9999674271060832,0.9998697641862276,0.9997071783746553,0.0,0.0033742580026186416,0.006746088843884176,0.010113071002182132
2524,1.0,0.9999681910935072,0.999872817552064,0.9997140387637651,0.0,0.003374279927742778,0.006746264207238505,0.01011366264199893
2556,1.0,0.9997307425147522,0.998937142978161,0.9976606273864136,0.0,0.003355636898223346,0.006598674298125824,0.009624153968290925
2567,1.0,0.9998897074190892,0.9995632740451664,0.999033812345031,0.0,0.0033678283129947363,0.006695047388353397,0.009943012715033724
2590,1.0,0.9998586214716092,0.9994395309075316,0.9987576020949723,0.0,0.003366746322320268,0.006686452844439935,0.009914346783211328
2602,1.0,0.999982321419355,0.9999292915577844,0.9998409280523667,0.0,0.003374568408006278,0.006748571016336993,0.010121442315393536
2623,1.0,0.9998618997442018,0.9994538357432682,0.9987941590167828,0.0,0.0033655027409259424,0.006676642454015702,0.009882002505001137
2682,1.0,0.9999749692403198,0.9998999314268605,0.9997750496666231,0.0,0.0033743605367506984,0.006746909541097562,0.010115843235388555
2683,1.0,0.9997751215605309,0.999106476347093,0.9980117966093819,0.0,0.003363055987851133,0.006656931564704794,0.00981472354022997
2708,1.0,0.9999685866143768,0.9998744358682833,0.9997178154483916,0.0,0.003374207932071971,0.006745689877619078,0.010111733464965566
2710,1.0,0.999856270002004,0.9994264884048011,0.9987148628808609,0.0,0.003370076627398776,0.0067126980613366315,0.010000714953263422
2711,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629153,0.0033883433148113036,0.001073333712946111
2781,1.0,0.999978465349401,0.9999138955869536,0.9998063931582654,0.0,0.0033744320078816317,0.006747480546878671,0.010117766092529533
2790,1.0,0.9997940107962344,0.999186879163648,0.998210326889251,0.0,0.00336010371791109,0.006634015231789638,0.009741258078311756
2796,1.0,0.9998586214716092,0.9994395309075316,0.9987576020949723,0.0,0.003366746322320305,0.006686452844440007,0.009914346783211427
2864,1.0,0.9998132998065666,0.9992613695219161,0.9983681989448642,0.0,0.0033628911833882024,0.006655974400570831,0.009813490127315277
